,cod_zona,cod_rest,cods_revs,revs
0,g662606,d14091847,r817283939,From the moment we were greeted to the time we left the staff were so attentive and knowledgeable.The food was amazing we had the 6 course taster menu washed down with a local wine from La Gomera.Well done!
1,g662606,d14091847,r816029820,"Great fine dining experience, not to badly priced, we went with the donaire set menu of 6 courses, The food was amazing, some of the best ive had around the world and well worth a visit if you can get a booking., the staff are awesome from the moment you arrive to the moment you leave.."
2,g662606,d14091847,r814288278,From the minute you get out of the lift into the restaurant you are welcomed by very attentive staff and this continues throughout until you leave . Staff have good knowledge of the food they are serving and where it originates from . Opted for Donaire Taster Menu and food was stunning as was the wine we chose . Stunning vistas over Plaza Del Duque shopping area to sea beyond and would highly recommend this fine dining experience
3,g662606,d14091847,r814123276,"Fine dining at its best, a great location with outstanding service and quite simply amazing food. We all had the taster menu and we would all recommend it 100%This restaurant will be a must for whenever we are in Tenerife."
4,g662606,d14091847,r812486250,"We were looking for a fine place to celebrate our first wedding anniversary and found this place. Honestly “fine” is simply not enough how to describe this restaurant. The stuff was so precise, professional and ultimately kind since the very first moment. It was a superb experience a we recommend this restaurant to all of you, who just wish to spend a lovely evening full of care and a brilliant food. If I could give you 5 stars for food and additional 5 for super great staff and ambience, I would do it ❤️"
5,g662606,d14091847,r810939190,"If want a real luxurious restaurant experience book the Donaire with the GF Victoria hotel. The food is out of this world and every plate is like a picture and tastes even better. The service is second to none and they make you feel absolutely pampered without being overbearing. Take the larger tasting menu if you like fish,it’s beautiful.Overall a fantastic night."
6,g662606,d14091847,r810581304,From the start when we were met at the hotel door to when th same person wished us good night we had the most wonderful experience in food and service. My wife and I enjoyed every minute of our evening both with wonderful food a attentive and professional service. With COVID we have not travelled far in the last couple of years but this reminded us of how good fine dining can be when it is done properly and was as good as any we have eaten all over the world 
7,g662606,d14091847,r796286907,"After much searching we settled on this restaurant for my 60th birthday. What a fabulous choice it turned out to be. We were greeted at the door politely and effectively and escorted to our table. Once seated we went for the full tasting menu. Absolutely superb food lovingly prepared by the chef and quite exquisite. From start to finish the tasting menu was beautifully prepared and perfectly presented, a lovely journey encompassing fine dining local cuisine and international food. I've never seen Venison offered here in Tenerife before and again it was prepared perfectly. All the staff were totally committed to our comfort and the attention was kind, warm, informative and nicely balanced personal with professional at the exact right mix.. My heartfelt thanks to everyone at Donaire who made my birthday such a special occasion.A real treat for those who appreciate quality dining .Richard & Dalia."
8,g662606,d14091847,r793944539,"Fantastic local food and wine from the Canary Islands, and excellent and personal service. Thank you for a great evening, we will most definately be back!"
9,g662606,d14091847,r792821753,"Unlike the majority of the reviews here, I was somewhat underwhelmed by my meal here in December. Overall the ambience was lessened perhaps due to COVID and the lighting at our table wasn’t amazing. The food though was the redeeming factor that brought it up to a 4/5, it’s probably worth a visit if you like good food. But it was a little pricey for relatively poor ambience."
10,g662606,d14091847,r817283939,From the moment we were greeted to the time we left the staff were so attentive and knowledgeable.The food was amazing we had the 6 course taster menu washed down with a local wine from La Gomera.Well done!
11,g662606,d14091847,r816029820,"Great fine dining experience, not to badly priced, we went with the donaire set menu of 6 courses, The food was amazing, some of the best ive had around the world and well worth a visit if you can get a booking., the staff are awesome from the moment you arrive to the moment you leave.."
12,g662606,d14091847,r814288278,From the minute you get out of the lift into the restaurant you are welcomed by very attentive staff and this continues throughout until you leave . Staff have good knowledge of the food they are serving and where it originates from . Opted for Donaire Taster Menu and food was stunning as was the wine we chose . Stunning vistas over Plaza Del Duque shopping area to sea beyond and would highly recommend this fine dining experience
13,g662606,d14091847,r814123276,"Fine dining at its best, a great location with outstanding service and quite simply amazing food. We all had the taster menu and we would all recommend it 100%This restaurant will be a must for whenever we are in Tenerife."
14,g662606,d14091847,r812486250,"We were looking for a fine place to celebrate our first wedding anniversary and found this place. Honestly “fine” is simply not enough how to describe this restaurant. The stuff was so precise, professional and ultimately kind since the very first moment. It was a superb experience a we recommend this restaurant to all of you, who just wish to spend a lovely evening full of care and a brilliant food. If I could give you 5 stars for food and additional 5 for super great staff and ambience, I would do it ❤️"
15,g662606,d14091847,r810939190,"If want a real luxurious restaurant experience book the Donaire with the GF Victoria hotel. The food is out of this world and every plate is like a picture and tastes even better. The service is second to none and they make you feel absolutely pampered without being overbearing. Take the larger tasting menu if you like fish,it’s beautiful.Overall a fantastic night."
16,g662606,d14091847,r810581304,From the start when we were met at the hotel door to when th same person wished us good night we had the most wonderful experience in food and service. My wife and I enjoyed every minute of our evening both with wonderful food a attentive and professional service. With COVID we have not travelled far in the last couple of years but this reminded us of how good fine dining can be when it is done properly and was as good as any we have eaten all over the world 
17,g662606,d14091847,r796286907,"After much searching we settled on this restaurant for my 60th birthday. What a fabulous choice it turned out to be. We were greeted at the door politely and effectively and escorted to our table. Once seated we went for the full tasting menu. Absolutely superb food lovingly prepared by the chef and quite exquisite. From start to finish the tasting menu was beautifully prepared and perfectly presented, a lovely journey encompassing fine dining local cuisine and international food. I've never seen Venison offered here in Tenerife before and again it was prepared perfectly. All the staff were totally committed to our comfort and the attention was kind, warm, informative and nicely balanced personal with professional at the exact right mix.. My heartfelt thanks to everyone at Donaire who made my birthday such a special occasion.A real treat for those who appreciate quality dining .Richard & Dalia."
18,g662606,d14091847,r793944539,"Fantastic local food and wine from the Canary Islands, and excellent and personal service. Thank you for a great evening, we will most definately be back!"
19,g662606,d14091847,r792821753,"Unlike the majority of the reviews here, I was somewhat underwhelmed by my meal here in December. Overall the ambience was lessened perhaps due to COVID and the lighting at our table wasn’t amazing. The food though was the redeeming factor that brought it up to a 4/5, it’s probably worth a visit if you like good food. But it was a little pricey for relatively poor ambience."
20,g662606,d14091847,r817283939,From the moment we were greeted to the time we left the staff were so attentive and knowledgeable.The food was amazing we had the 6 course taster menu washed down with a local wine from La Gomera.Well done!
